file,year,target_station,station_found,lon,lat,O2_200_400m_mean_mLL,sigma0_200_400m_mean,PT_200_400m_mean_degC,S_200_400m_mean,unit_flag,status
HM2011622.npy,2011,992,True,5.401,60.872,4.118771393034827,27.32660140411337,8.21843079994635,35.105746268656716,mL/L,ok
GOS2012115.npy,2012,444,True,5.402,60.873,3.9467334825870646,27.307846204358096,8.213033413869995,35.08080099502487,mL/L,ok
HM2013624.npy,2013,1084,True,5.401,60.873,4.014433532338309,27.306924613965116,8.143323313248708,35.06611940298508,mL/L,ok
GOS2014117.npy,2014,389,True,5.387,60.873,3.3473867164179105,27.297271467837245,8.147094900782292,35.05455223880597,mL/L,ok
HM2015620.npy,2015,690,True,5.366,60.869,2.547948407960199,27.27746878788964,8.129618728071248,35.025955223880594,mL/L,ok
HM2016619.npy,2016,951,True,5.366,60.869,2.462357462686567,27.26412261968222,8.14108989687133,35.011164179104476,mL/L,ok
GOS2017114.npy,2017,300,True,5.411,60.871,2.276772835820895,27.247128693381665,8.183120567316625,34.99765174129353,mL/L,ok
GOS2018111.npy,2018,415,True,5.412,60.872,3.236115671641792,27.24097477449736,8.095823665936882,34.97296517412935,mL/L,ok
GOS2019114.npy,2019,385,True,5.409,60.872,3.2741520617235786,27.226485030785835,8.142456742777666,34.96348756218905,umol/kg_to_mL/L,ok
GOS2020112.npy,2020,310,True,5.417,60.873,3.096387480189603,27.210086903932854,8.18079374354877,34.95000497512437,umol/kg_to_mL/L,ok
DFN2021460.npy,2021,378,True,5.369,60.87,4.1864294331521235,27.221261518840272,8.28795118865059,34.985049751243785,umol/kg_to_mL/L,ok
GOS2022112.npy,2022,366,True,5.361,60.867,3.717032626307146,27.198023860350393,8.289748964221547,34.955786069651744,umol/kg_to_mL/L,ok
GOS2023001013.npy,2023,446,True,5.415,60.873,3.4283178359936612,27.18618865280812,8.276417321007687,34.93810447761194,umol/kg_to_mL/L,ok
GOS2024001014.npy,2024,519,True,5.415,60.873,3.374781161794929,27.167280587839347,8.29545710350894,34.91771641791045,umol/kg_to_mL/L,ok
GOS2025001014.npy,2025,736,True,5.416,60.873,4.983127133614047,27.236636736516633,8.326845777546314,35.01224378109453,umol/kg_to_mL/L,ok
HB2026009004.npy,2026,9,True,5.4145,60.87275,4.668671748857986,27.223611306397423,8.329872547675688,34.996233830845775,umol/kg_to_mL/L,ok
