file,year,target_station,station_found,lon,lat,O2_250_400m_mean_mLL,sigma0_250_400m_mean,PT_250_400m_mean_degC,S_250_400m_mean,unit_flag,status
HM2011622.npy,2011,992,True,5.401,60.872,4.141369867549669,27.334023242078462,8.222806809374802,35.11601986754966,mL/L,ok
GOS2012115.npy,2012,444,True,5.402,60.873,3.822457483443708,27.31799987714192,8.218030819155958,35.09467549668874,mL/L,ok
HM2013624.npy,2013,1084,True,5.401,60.873,3.997489801324504,27.309118285502926,8.14592720599103,35.06938410596027,mL/L,ok
GOS2014117.npy,2014,389,True,5.387,60.873,3.3095949006622516,27.30292633679278,8.152062570555389,35.06268211920531,mL/L,ok
HM2015620.npy,2015,690,True,5.366,60.869,2.45684,27.288148721399732,8.137018023634262,35.04095364238411,mL/L,ok
HM2016619.npy,2016,951,True,5.366,60.869,2.1853800662251657,27.279770693202078,8.137732207156738,35.03041721854304,mL/L,ok
GOS2017114.npy,2017,300,True,5.411,60.871,1.9215711920529799,27.266349722243373,8.154796777717284,35.01661589403974,mL/L,ok
GOS2018111.npy,2018,415,True,5.412,60.872,2.91588,27.246045533092694,8.105013750708538,34.98115894039734,mL/L,ok
GOS2019114.npy,2019,385,True,5.409,60.872,2.9492699319754645,27.234516662792185,8.124192240855233,34.97015894039734,umol/kg_to_mL/L,ok
GOS2020112.npy,2020,310,True,5.417,60.873,2.8204565812503977,27.220715276288036,8.160424613844143,34.95956953642386,umol/kg_to_mL/L,ok
DFN2021460.npy,2021,378,True,5.369,60.87,4.152066662447203,27.223800462412594,8.286893053982157,34.98804635761591,umol/kg_to_mL/L,ok
GOS2022112.npy,2022,366,True,5.361,60.867,3.6638088422002966,27.204030655692183,8.293294661095446,34.964099337748344,umol/kg_to_mL/L,ok
GOS2023001013.npy,2023,446,True,5.415,60.873,3.3436126572778995,27.19450971123199,8.277263605911532,34.948841059602636,umol/kg_to_mL/L,ok
GOS2024001014.npy,2024,519,True,5.415,60.873,3.123732449051003,27.179095314879174,8.297870905409937,34.9332119205298,umol/kg_to_mL/L,ok
GOS2025001014.npy,2025,736,True,5.416,60.873,5.035380672168488,27.240892717302398,8.32803094497237,35.01786754966887,umol/kg_to_mL/L,ok
HB2026009004.npy,2026,9,True,5.4145,60.87275,4.721123259793136,27.229052080100207,8.328500685963826,35.00286754966887,umol/kg_to_mL/L,ok
