file,station,lon,lat,unit_flag,O2_250_400m_mLL
KB2020603.npy,173,5.474,60.882,umol/kg_to_mL/L,3.5381901790409493
KB2020603.npy,174,5.474,60.882,umol/kg_to_mL/L,3.56666471754658
KB2020603.npy,175,5.456,60.879,umol/kg_to_mL/L,3.0971003513681516
KB2020603.npy,176,5.439,60.876,umol/kg_to_mL/L,3.02792842283328
KB2020603.npy,177,5.426,60.874,umol/kg_to_mL/L,3.063263554321104
KB2020603.npy,179,5.417,60.872,umol/kg_to_mL/L,3.024082744076291
KB2020603.npy,180,5.389,60.873,umol/kg_to_mL/L,3.042856640702989
KB2020603.npy,181,5.368,60.87,umol/kg_to_mL/L,3.066212188754567
KB2020603.npy,182,5.354,60.863,umol/kg_to_mL/L,3.0408155341951986
KB2020603.npy,183,5.35,60.852,umol/kg_to_mL/L,2.9753239027504
KB2020603.npy,184,5.348,60.849,outside_box,
KB2020603.npy,185,5.348,60.843,outside_box,
KB2020603.npy,186,5.348,60.839,outside_box,
KB2020603.npy,187,5.347,60.836,outside_box,
KB2020603.npy,188,5.346,60.83,outside_box,
KB2020603.npy,189,5.347,60.825,outside_box,
KB2020603.npy,190,5.321,60.816,outside_box,
KB2020603.npy,192,5.32,60.807,outside_box,
KB2020603.npy,193,5.346,60.825,outside_box,
KB2020603.npy,194,5.318,60.805,outside_box,
KB2020603.npy,195,5.272,60.79,outside_box,
KB2020603.npy,196,5.269,60.786,outside_box,
KB2020603.npy,197,5.25,60.781,outside_box,
KB2020603.npy,198,5.237,60.775,outside_box,
KB2020603.npy,199,5.226,60.77,outside_box,
KB2020603.npy,200,5.218,60.767,outside_box,
KB2020603.npy,201,5.213,60.765,outside_box,
KB2020603.npy,202,5.21,60.764,outside_box,
KB2020603.npy,203,5.207,60.762,outside_box,
KB2020603.npy,204,5.198,60.76,outside_box,
KB2020603.npy,205,5.436,60.648,outside_box,
KB2020603.npy,206,5.423,60.655,outside_box,
KB2020603.npy,207,5.405,60.662,outside_box,
KB2020603.npy,208,5.377,60.68,outside_box,
KB2020603.npy,209,5.349,60.692,outside_box,
KB2020603.npy,210,5.356,60.7,outside_box,
KB2020603.npy,211,5.357,60.712,outside_box,
KB2020603.npy,212,5.362,60.726,outside_box,
KB2020603.npy,213,5.335,60.733,outside_box,
KB2020603.npy,214,5.417,60.872,umol/kg_to_mL/L,3.0638792451700403
KB2020603.npy,215,5.439,60.876,umol/kg_to_mL/L,3.010484475146972
KB2020603.npy,216,5.51,60.904,outside_box,
KB2020603.npy,217,5.51,60.904,outside_box,
KB2020603.npy,218,5.416,60.872,umol/kg_to_mL/L,3.0296111217259045
KB2020603.npy,219,5.303,60.806,outside_box,
KB2020603.npy,220,5.296,60.805,outside_box,
KB2020603.npy,221,5.284,60.805,outside_box,
KB2020603.npy,222,5.322,60.737,outside_box,
KB2020603.npy,223,5.314,60.738,outside_box,
KB2020603.npy,224,5.279,60.751,outside_box,
KB2020603.npy,225,5.258,60.753,outside_box,
KB2020603.npy,226,5.236,60.76,outside_box,
KB2020603.npy,227,5.213,60.765,outside_box,
KB2020603.npy,228,5.197,60.77,outside_box,
KB2020603.npy,229,5.184,60.779,outside_box,
KB2020603.npy,230,5.13,60.79,outside_box,
KB2020603.npy,231,5.094,60.801,outside_box,
KB2020603.npy,232,5.056,60.83,outside_box,
KB2020603.npy,233,5.006,60.836,outside_box,
KB2020603.npy,234,4.959,60.85,outside_box,
KB2020603.npy,235,4.875,60.853,outside_box,
KB2020603.npy,236,4.782,60.849,outside_box,
KB2020603.npy,237,5.217,60.662,outside_box,
KB2020603.npy,238,5.171,60.685,outside_box,
KB2020603.npy,239,5.106,60.708,outside_box,
KB2020603.npy,240,5.052,60.725,outside_box,
KB2020603.npy,241,5.027,60.732,outside_box,
KB2020603.npy,242,4.99,60.73,outside_box,
KB2020603.npy,243,4.99,60.73,outside_box,
KB2020603.npy,244,4.949,60.735,outside_box,
KB2020603.npy,245,5.171,60.685,outside_box,
KB2020603.npy,246,4.689,60.862,outside_box,
KB2020603.npy,247,4.84,61.017,outside_box,
KB2020603.npy,248,5.068,61.074,outside_box,
KB2020603.npy,249,5.057,61.08,outside_box,
KB2020603.npy,250,5.048,61.085,outside_box,
KB2020603.npy,251,5.037,61.091,outside_box,
KB2020603.npy,252,5.024,61.098,outside_box,
KB2020603.npy,253,5.409,61.048,outside_box,
KB2020603.npy,254,5.49,60.894,outside_box,
KB2020603.npy,255,5.51,60.905,outside_box,
KB2020603.npy,256,5.417,60.871,umol/kg_to_mL/L,3.0750549914852043
KB2020603.npy,257,5.417,60.871,umol/kg_to_mL/L,3.067766189261473
KB2020603.npy,258,5.237,60.775,outside_box,
KB2020603.npy,259,5.226,60.771,outside_box,
KB2020603.npy,261,5.218,60.767,outside_box,
KB2020603.npy,262,5.213,60.765,outside_box,
KB2020603.npy,263,5.206,60.763,outside_box,
KB2020603.npy,264,5.197,60.76,outside_box,
KB2020603.npy,265,5.293,60.803,outside_box,
KB2020603.npy,266,5.417,60.871,umol/kg_to_mL/L,3.0461736207887444
KB2020603.npy,267,5.367,60.87,umol/kg_to_mL/L,2.990623183604462
KB2020603.npy,268,5.109,60.788,outside_box,
KB2020603.npy,269,5.112,60.792,outside_box,
KB2020603.npy,270,5.115,60.797,outside_box,
KB2020603.npy,271,5.118,60.802,outside_box,
KB2020603.npy,272,5.121,60.806,outside_box,
KB2020603.npy,273,5.124,60.811,outside_box,
KB2021605.npy,232,5.65,60.714,outside_box,
KB2021605.npy,220,5.667,60.467,outside_box,
KB2021605.npy,221,5.33,60.53,outside_box,
KB2021605.npy,222,5.405,60.496,outside_box,
KB2021605.npy,223,5.427,60.48,outside_box,
KB2021605.npy,224,5.483,60.449,outside_box,
KB2021605.npy,225,5.553,60.429,outside_box,
KB2021605.npy,226,5.624,60.445,outside_box,
KB2021605.npy,227,5.723,60.482,outside_box,
KB2021605.npy,228,5.715,60.553,outside_box,
KB2021605.npy,229,5.729,60.621,outside_box,
KB2021605.npy,230,5.734,60.662,outside_box,
KB2021605.npy,231,5.762,60.699,outside_box,
KB2021605.npy,233,5.599,60.651,outside_box,
KB2021605.npy,234,5.555,60.697,outside_box,
KB2021605.npy,235,5.213,60.564,outside_box,
KB2021605.npy,236,5.365,60.556,outside_box,
KB2021605.npy,237,5.538,60.621,outside_box,
KB2021605.npy,238,5.486,60.608,outside_box,
KB2021605.npy,239,5.255,60.509,outside_box,
KB2021605.npy,240,5.421,60.574,outside_box,
KB2021605.npy,241,5.556,60.871,outside_box,
KB2021605.npy,242,5.534,60.871,outside_box,
KB2021605.npy,243,5.511,60.867,outside_box,
KB2021605.npy,244,5.495,60.876,outside_box,
KB2021605.npy,245,5.473,60.881,umol/kg_to_mL/L,3.660512694904275
KB2021605.npy,246,5.457,60.879,umol/kg_to_mL/L,3.058177676538057
KB2021605.npy,247,5.439,60.876,umol/kg_to_mL/L,2.9256257077570185
KB2021605.npy,248,5.426,60.874,umol/kg_to_mL/L,2.865922243561116
KB2021605.npy,249,5.388,60.873,umol/kg_to_mL/L,2.867596532272215
KB2021605.npy,250,5.368,60.87,umol/kg_to_mL/L,2.9265779671375087
KB2021605.npy,251,5.416,60.873,umol/kg_to_mL/L,2.9038477424303255
KB2021605.npy,252,5.355,60.863,umol/kg_to_mL/L,2.947741078112018
KB2021605.npy,253,5.491,60.895,outside_box,
KB2021605.npy,254,5.511,60.905,outside_box,
KB2021605.npy,255,5.35,60.851,umol/kg_to_mL/L,2.865713981771355
KB2021605.npy,256,5.349,60.849,outside_box,
KB2021605.npy,257,5.348,60.843,outside_box,
KB2021605.npy,258,5.348,60.839,outside_box,
KB2021605.npy,259,5.348,60.836,outside_box,
KB2021605.npy,260,5.346,60.83,outside_box,
KB2021605.npy,261,5.346,60.825,outside_box,
KB2021605.npy,262,5.321,60.816,outside_box,
KB2021605.npy,263,5.317,60.804,outside_box,
KB2021605.npy,264,5.301,60.806,outside_box,
KB2021605.npy,265,5.295,60.805,outside_box,
KB2021605.npy,266,5.284,60.806,outside_box,
KB2021605.npy,267,5.271,60.79,outside_box,
KB2021605.npy,268,5.268,60.786,outside_box,
KB2021605.npy,269,5.251,60.781,outside_box,
KB2021605.npy,270,5.237,60.775,outside_box,
KB2021605.npy,271,5.226,60.771,outside_box,
KB2021605.npy,272,5.218,60.767,outside_box,
